narbonne,43.18423942477919,3.0031073659753074
leucate,42.910837820448535,3.0286917737429198
rovigno,45.08083023644755,13.639735150759513
premantura,44.803053189665405,13.91352156081027
dune du pilat,44.58922645652462,-1.2087215144151346
bordeaux,44.83779598065612,-0.5840379442230805
saint emilion,44.89292108915403,-0.15232438645479243
rocamadour,44.79934195040844,1.6226995548843686
barcelona,41.38739946912468,2.1436127697479384
verona,45.43817874114765,10.988402537493782
torino,45.06892664475487,7.692920162463501
sestriere,44.95791342124957,6.879525368050376
montauban,44.02202812598069,1.3543394338646069
bruniquel,44.05531309149247,1.6645973090895092
saint antonin noble val,44.15190745385753,1.7551220817181696
montpellier,43.61089243927389,3.876224623882911
avignon,43.95173604447403,4.80781090580965
nimes,43.83420016620392,4.359990559459459
parenzo,45.21240752932741, 13.58942145537636
predjama,45.81521492653828, 14.12788926889284
bled,46.367185164578196, 14.08571072658625
lubiana,46.05029252499169, 14.505610726573597
trieste,45.70240746393971, 13.712089268888342
gibson steps,-38.66898321829577, 143.11198926862843
twelve apostles,-38.66440834905035, 143.10397853979248
magnetic island,-19.17385944738483, 146.84359999694755
the forts,-19.123789845347822, 146.87111072578216
blue mountains,-33.73751967532259, 150.33847853963226
kata tjuta,-25.351061194965286, 130.786810725912
brighton beach,-37.91799150806641, 144.98679999743848
koala park,-38.41777475368281, 145.5206892686198
the nobbies,-38.5177328165831, 145.1172892686234
